Date,Open,High,Low,Close,Volume
2014-10-31,19.7,19.9,19.65,19.75,8681000
2014-11-03,138.25,138.32,137.27,137.76,5828013
2014-11-04,137.76,138.11,137.2,138.04,8030000
2014-11-05,137.83,138.46,137.62,138.39,7323016
2014-11-06,138.39,139.37,137.97,139.23,9868528
2014-11-07,139.23,139.79,138.88,139.02,11326132
2014-11-10,137.9,138.46,136.71,136.85,7645067
2014-11-11,136.64,137.2,136.57,137.2,5012121
2014-11-12,137.55,139.09,137.27,138.88,7630400
2014-11-13,138.95,138.95,138.11,138.18,3540081
2014-11-14,138.32,138.6,137.83,138.32,2545066
2014-11-17,137.62,139.51,137.41,139.16,6541000
2014-11-18,138.6,140.0,138.39,139.58,2818150
2014-11-19,139.58,139.58,137.9,138.32,7037500
2014-11-20,138.04,138.04,136.22,136.5,16837392
2014-11-21,136.5,136.71,136.22,136.36,8490000
2014-11-24,136.36,136.36,135.59,136.29,6430000
2014-11-25,136.64,136.71,135.94,136.15,4919000
2014-11-26,136.5,136.5,136.15,136.36,1768000
2014-11-27,135.94,135.94,134.68,135.31,5638019
2014-11-28,135.24,135.45,135.03,135.38,3638100
2014-12-01,137.06,137.27,135.45,136.15,8593000
2014-12-02,136.43,137.76,136.43,137.34,7556385
2014-12-03,137.2,137.2,135.1,135.38,9567100
2014-12-04,134.75,135.03,134.19,134.82,11227000
2014-12-05,134.82,135.31,134.68,134.89,1903000
2014-12-08,134.4,135.38,134.26,135.1,2488000
2014-12-09,135.59,136.08,135.38,135.8,1928005
2014-12-10,136.64,137.69,135.94,137.55,5625000
2014-12-11,138.25,138.39,137.2,137.62,3803011
2014-12-12,137.62,137.76,136.92,137.55,2140485
2014-12-15,138.25,138.81,137.62,137.62,8286100
2014-12-16,137.9,138.18,137.34,138.18,5644000
2014-12-17,138.18,139.79,138.18,139.37,23119000
2014-12-18,138.81,139.65,138.53,139.65,16730200
2014-12-19,137.62,138.11,136.78,137.13,7476000
2014-12-22,137.13,137.13,135.94,136.01,3879159
2014-12-23,135.66,136.01,135.45,135.66,2679000
2014-12-24,135.66,135.66,134.68,134.89,5571000
2014-12-25,134.75,135.1,134.75,134.89,2226000
2014-12-26,134.89,134.89,134.33,134.4,2970000
2014-12-27,134.19,134.26,133.91,133.98,2846000
2014-12-29,133.84,133.91,132.72,132.86,8010100
2014-12-30,132.65,133.63,132.51,133.42,4989100
2014-12-31,133.49,133.77,133.07,133.35,3415000
2015-01-05,134.05,134.96,133.56,133.84,5644000
2015-01-06,135.31,137.06,135.17,136.71,10199100
2015-01-07,136.71,136.92,136.08,136.43,6164410
2015-01-08,134.75,135.31,133.84,133.84,13061000
2015-01-09,133.0,134.33,132.93,134.19,3771000
2015-01-12,134.89,135.1,134.12,134.75,4123000
2015-01-13,134.75,135.1,133.49,134.12,8025000
2015-01-14,134.33,135.17,133.98,134.89,6469000
2015-01-15,134.26,135.52,134.19,134.89,6903013
2015-01-16,133.98,136.29,133.98,135.8,14133477
2015-01-19,134.26,135.45,133.84,135.17,9907000
2015-01-20,134.61,134.82,133.77,133.84,12827000
2015-01-21,133.49,133.49,133.0,133.21,16200000
2015-01-22,132.93,132.93,131.81,132.23,14742000
2015-01-23,130.9,131.11,130.69,130.9,14862000
2015-01-26,131.39,131.39,130.83,130.97,11415000
2015-01-27,130.27,130.69,129.85,130.2,6516000
2015-01-28,130.76,130.76,130.06,130.13,11519000
2015-01-29,130.62,131.39,130.48,131.25,8441156
2015-01-30,131.11,131.74,130.97,131.74,6813013
2015-02-02,131.95,132.23,131.39,131.74,5573000
2015-02-03,131.11,131.67,130.55,130.97,8608055
2015-02-04,130.06,130.27,129.71,130.2,9913000
2015-02-05,130.2,130.69,130.2,130.27,2157011
2015-02-06,130.2,130.9,130.06,130.83,3084000
2015-02-09,131.25,131.39,130.83,131.11,2615000
2015-02-10,131.25,131.39,130.9,131.39,3638260
2015-02-11,130.9,130.97,130.34,130.41,3101004
2015-02-12,130.41,130.83,130.34,130.62,2168200
2015-02-13,130.2,130.2,129.64,130.06,6527096
2015-02-24,129.22,129.22,128.59,128.73,11183240
2015-02-25,128.17,128.38,127.96,127.96,8133100
2015-02-26,128.31,128.66,128.17,128.38,2518000
2015-03-02,128.45,128.8,127.96,128.73,3708114
2015-03-03,128.17,129.29,128.17,128.8,1694100
2015-03-04,129.15,129.43,128.59,128.87,2212000
2015-03-05,128.8,129.64,128.73,128.94,2769150
2015-03-06,129.15,129.43,128.66,128.8,2972000
2015-03-09,129.36,129.71,129.15,129.29,4008000
2015-03-10,129.71,130.2,129.29,129.92,4954000
2015-03-11,130.9,130.97,129.78,130.13,5409000
