Date,Open,High,Low,Close,Volume
2017-01-18,30.08,30.12,30.07,30.07,601000
2017-01-19,29.95,29.95,29.77,29.84,1001000
2017-01-20,29.61,29.62,29.51,29.51,261000
2017-01-23,29.52,29.57,29.48,29.48,338000
2017-01-24,29.63,29.66,29.59,29.64,861100
2017-02-02,29.09,29.1,29.03,29.1,639000
2017-02-03,28.95,28.96,28.88,28.91,1286000
2017-02-06,28.82,28.82,28.74,28.79,833000
2017-02-07,29.02,29.1,29.01,29.07,399250
2017-02-08,29.2,29.3,29.2,29.26,416078
2017-02-09,29.64,29.64,29.53,29.54,474380
2017-02-10,29.32,29.32,29.28,29.29,348292
2017-02-13,29.23,29.23,29.17,29.2,361120
2017-02-14,29.07,29.07,28.95,28.97,351000
2017-02-15,28.82,28.82,28.66,28.67,492000
2017-02-16,28.62,28.67,28.59,28.66,339000
2017-02-17,28.72,28.76,28.72,28.73,78000
2017-02-18,28.77,28.97,28.77,28.91,25000
2017-02-20,28.92,28.93,28.88,28.88,106000
2017-02-21,28.84,28.88,28.83,28.86,61000
2017-02-22,28.8,28.82,28.76,28.8,310300
2017-02-23,28.88,28.95,28.88,28.95,18000
2017-02-24,28.92,28.98,28.92,28.95,197000
2017-03-01,28.99,29.01,28.93,28.94,251000
2017-03-02,28.74,28.81,28.72,28.79,382000
2017-03-03,28.79,28.94,28.79,28.91,1299000
2017-03-06,28.94,28.98,28.94,28.95,25000
2017-03-07,28.79,28.81,28.74,28.74,285000
2017-03-08,28.64,28.68,28.63,28.63,133000
2017-03-09,28.59,28.59,28.53,28.57,203000
2017-03-10,28.45,28.47,28.41,28.44,150000
2017-03-13,28.39,28.46,28.39,28.45,44805
2017-03-14,28.3,28.3,28.22,28.3,557079
2017-03-15,28.43,28.43,28.36,28.38,1805000
2017-03-16,28.63,28.64,28.45,28.51,1801000
2017-03-17,28.26,28.31,28.22,28.29,1569300
2017-03-20,28.51,28.51,28.39,28.4,316000
2017-03-21,28.4,28.44,28.37,28.43,3044000
2017-03-22,28.57,28.82,28.57,28.78,2107105
2017-03-23,28.86,28.86,28.76,28.82,1588000
2017-03-24,28.77,28.77,28.71,28.74,928000
2017-03-27,28.89,28.91,28.86,28.87,844210
2017-03-28,28.8,28.81,28.69,28.74,1458000
2017-03-29,28.59,28.59,28.53,28.58,2550000
2017-03-30,28.62,28.82,28.62,28.82,3109078
2017-03-31,28.68,28.73,28.67,28.69,12347000
2017-04-05,28.81,28.97,28.81,28.93,1764000
2017-04-06,28.94,29.07,28.9,29.07,2254000
2017-04-07,29.07,29.32,29.05,29.22,6865500
2017-04-10,29.14,29.14,29.04,29.1,12865000
2017-04-11,29.16,29.32,29.13,29.26,8231028
2017-04-12,29.55,29.57,29.46,29.46,127000
2017-04-13,29.46,29.54,29.35,29.36,70000
2017-04-14,29.42,29.54,29.38,29.4,60000
2017-04-17,29.4,29.47,29.4,29.45,87000
2017-04-18,29.31,29.42,29.31,29.38,1075000
2017-04-19,29.57,29.68,29.57,29.64,1666000
2017-04-20,29.64,29.64,29.6,29.64,1878000
2017-04-21,29.47,29.47,29.42,29.45,1649000
2017-04-24,29.01,29.07,29.01,29.07,1664130
2017-04-25,29.06,29.13,29.06,29.12,1457000
2017-04-26,28.73,28.73,28.63,28.7,1274000
2017-04-27,28.74,28.85,28.74,28.84,1292000
2017-04-28,28.89,28.97,28.89,28.96,1618000
2017-05-02,28.79,28.79,28.59,28.66,2294000
2017-05-03,28.72,28.76,28.67,28.73,4140020
2017-05-04,28.73,28.82,28.73,28.81,3688000
2017-05-05,28.76,28.8,28.73,28.77,2565000
2017-05-08,28.77,28.78,28.73,28.74,1421000
2017-05-09,28.74,28.74,28.63,28.68,1338000
2017-05-10,28.69,28.73,28.69,28.73,3503000
2017-05-11,28.71,28.71,28.63,28.67,3786500
2017-05-12,28.63,28.69,28.63,28.68,4047000
2017-05-15,28.7,28.78,28.7,28.76,1900000
2017-05-16,28.63,28.72,28.63,28.72,3429000
2017-05-17,28.79,28.91,28.79,28.88,3648000
2017-05-18,29.2,29.29,29.18,29.26,6049000
2017-05-19,29.33,29.42,29.29,29.29,3313000
2017-05-22,29.29,29.31,29.08,29.1,757000
2017-05-23,29.1,29.28,29.1,29.26,2902000
2017-05-24,29.17,29.18,29.13,29.15,2406000
2017-05-25,29.15,29.17,29.13,29.14,2141000
2017-05-26,29.14,29.22,29.14,29.19,482130
2017-05-31,29.2,29.39,29.2,29.38,3730000
2017-06-01,29.37,29.45,29.37,29.44,3901000
2017-06-02,29.43,29.5,29.42,29.49,4075000
2017-06-03,29.5,29.65,29.5,29.65,139000
2017-06-05,29.69,29.77,29.69,29.74,2479000
2017-06-06,29.72,29.72,29.65,29.68,2717100
2017-06-07,29.71,29.76,29.7,29.76,2457000
2017-06-08,29.73,29.73,29.6,29.7,2538000
2017-06-09,29.62,29.62,29.55,29.6,3182000
2017-06-12,29.6,29.6,29.51,29.54,3940000
2017-06-13,29.54,29.65,29.54,29.62,3717000
2017-06-14,29.62,29.71,29.62,29.67,4622000
2017-06-15,29.95,30.17,29.95,30.16,4469000
2017-06-16,30.08,30.26,30.08,30.26,5214000
2017-06-19,30.22,30.24,30.19,30.24,3993152
2017-06-20,30.18,30.29,30.18,30.29,7376000
2017-06-21,30.45,30.58,30.45,30.56,2657000
2017-06-22,30.56,30.68,30.48,30.67,8784076
2017-06-23,30.67,30.67,30.56,30.62,5690000
2017-06-26,30.62,30.62,30.48,30.49,7080000
2017-06-27,30.56,30.67,30.56,30.65,4449000
2017-06-28,30.62,30.62,30.37,30.37,5735000
2017-06-29,30.68,30.68,30.21,30.23,542000
2017-06-30,30.14,30.14,29.96,29.97,409000
2017-07-03,29.91,29.91,29.86,29.86,1240152
2017-07-04,29.8,29.93,29.8,29.93,3802000
2017-07-05,29.93,29.96,29.93,29.93,1340000
2017-07-06,29.98,30.01,29.98,30.0,1325000
2017-07-07,29.8,29.8,29.69,29.69,2015146
2017-07-10,29.65,29.65,29.53,29.54,2179201
2017-07-11,29.6,29.64,29.57,29.57,2182000
2017-07-12,29.61,29.61,29.54,29.56,2748000
2017-07-13,29.73,29.73,29.67,29.67,2175319
2017-07-14,29.57,29.57,29.48,29.51,2194000
2017-07-17,29.52,29.52,29.5,29.51,1847000
2017-07-18,29.64,29.65,29.6,29.65,1813000
