Date,Open,High,Low,Close,Volume
1996-11-15,17.46,17.46,17.46,17.46,1000
1996-11-16,18.67,18.67,18.67,18.67,1000
1996-11-18,19.94,19.94,19.94,19.94,1000
1996-11-19,21.21,21.21,21.21,21.21,1000
1996-11-20,22.63,22.63,22.63,22.63,1000
1996-11-21,24.18,24.18,24.18,24.18,1000
1996-11-22,25.74,25.74,25.74,25.74,1000
1996-11-23,27.43,27.43,27.43,27.43,1000
1996-11-25,29.27,29.27,29.27,29.27,1000
1996-11-26,31.25,31.25,31.25,31.25,7000
1996-11-27,33.37,33.37,33.37,33.37,1000
1996-11-28,35.64,35.64,35.64,35.64,3000
1996-11-29,38.04,38.04,38.04,38.04,1000
1996-11-30,40.58,40.58,40.58,40.58,22000
1996-12-02,43.41,43.41,43.41,43.41,299000
1996-12-03,46.38,46.38,46.38,46.38,1347000
1996-12-04,47.8,47.8,43.27,43.27,6315934
1996-12-05,41.01,41.43,40.3,40.3,3673476
1996-12-06,38.32,41.72,38.32,40.02,5481167
1996-12-07,39.88,39.88,38.18,38.18,1821817
1996-12-09,38.18,38.6,35.92,37.9,2689000
1996-12-10,37.61,38.18,37.33,37.61,771732
1996-12-11,37.76,38.18,37.33,37.76,746103
1996-12-12,37.9,37.9,36.77,36.77,744000
1996-12-13,36.77,38.46,36.2,37.9,1496000
1996-12-14,37.9,38.18,37.47,37.9,707327
1996-12-16,37.9,38.6,37.61,38.32,689000
1996-12-17,38.18,38.18,37.47,37.61,520000
1996-12-18,37.61,37.61,37.33,37.47,402266
1996-12-19,37.61,37.61,37.05,37.05,419317
1996-12-20,37.05,37.47,37.05,37.33,612252
1996-12-21,37.61,37.9,37.47,37.9,307000
1996-12-23,37.76,38.04,37.47,37.47,354000
1996-12-24,37.47,37.61,37.33,37.47,425010
1996-12-26,37.47,37.61,37.33,37.47,308200
1996-12-27,37.47,38.04,37.33,37.9,419000
1996-12-28,37.9,40.44,37.9,40.44,1205603
1996-12-30,41.01,41.72,40.44,40.58,2335000
1996-12-31,40.58,40.87,40.44,40.87,794400
1997-01-04,38.89,40.73,38.89,40.02,818000
1997-01-06,40.02,42.42,40.02,42.0,1330000
1997-01-07,42.28,43.84,42.28,43.41,1789286
1997-01-08,42.71,42.71,41.15,41.57,1672300
1997-01-09,41.43,42.14,41.43,42.0,536029
1997-01-10,42.42,42.85,42.14,42.14,892000
1997-01-11,42.14,42.42,41.72,41.86,390000
1997-01-13,41.86,42.0,40.87,41.72,1058000
1997-01-14,41.72,42.0,41.01,41.01,412029
1997-01-15,41.01,41.43,41.01,41.29,334743
1997-01-16,41.01,41.01,39.45,40.44,1165000
1997-01-17,40.3,40.44,39.74,39.88,405071
1997-01-18,39.88,40.02,39.45,40.02,301227
1997-01-20,40.02,40.16,39.88,39.88,446000
1997-01-21,40.3,42.28,40.3,41.72,947066
1997-01-22,41.72,41.86,40.44,40.73,583100
1997-01-23,40.44,41.86,40.44,40.73,682574
1997-01-24,41.43,41.86,40.87,41.72,689102
1997-01-25,41.72,42.14,41.72,42.0,683000
1997-01-27,42.0,42.99,42.0,42.42,1049000
1997-01-28,42.42,42.42,41.86,42.0,438066
1997-01-29,41.86,42.71,41.86,42.42,369444
1997-01-30,42.56,43.7,42.56,43.41,1211250
1997-01-31,43.7,45.82,43.7,44.54,2078160
1997-02-01,44.97,45.53,44.97,45.25,842520
1997-02-03,45.11,46.67,44.97,45.96,961000
1997-02-11,46.24,49.07,46.24,49.07,985000
1997-02-12,50.62,51.05,49.35,50.06,1185000
1997-02-13,50.2,53.45,50.2,53.45,992000
1997-02-14,55.15,57.13,52.75,55.43,2548101
1997-02-15,56.71,59.25,56.71,57.7,794776
1997-02-17,60.52,61.23,58.68,59.53,1458000
1997-02-18,59.53,60.38,58.26,60.1,1245962
1997-02-19,60.24,64.2,60.24,64.2,2242271
1997-02-20,63.35,68.58,63.35,68.58,1163715
1997-02-21,72.83,72.83,64.91,69.01,1349427
1997-02-22,66.46,67.88,64.2,64.2,991000
1997-02-24,62.22,68.02,60.38,67.59,1817000
1997-02-25,67.45,68.44,65.47,68.3,907543
1997-02-26,69.29,69.29,65.47,65.76,765234
1997-02-27,64.06,70.28,64.06,70.28,1181020
1997-02-28,69.57,71.41,69.57,70.28,1094184
1997-03-01,70.14,70.28,68.72,69.29,309090
1997-03-03,67.88,69.15,67.59,67.88,421000
1997-03-04,68.72,69.29,67.31,67.59,785050
1997-03-05,67.88,71.41,67.88,69.86,1285000
1997-03-06,71.41,74.24,70.56,72.83,902000
1997-03-07,73.53,73.53,71.41,71.41,466151
1997-03-08,71.41,72.54,70.99,71.13,260288
1997-03-10,71.13,72.83,70.28,72.68,592000
1997-03-11,72.4,73.25,71.84,73.25,438000
1997-03-12,73.25,73.25,72.12,72.12,377080
1997-03-13,71.55,71.84,70.0,70.56,554000
1997-03-14,70.0,71.69,69.29,70.7,403561
1997-03-15,71.41,71.41,70.7,71.13,213073
1997-03-17,71.13,72.4,71.13,71.84,444000
1997-03-18,72.12,72.54,71.13,72.4,451000
1997-03-19,74.66,77.35,73.67,77.35,1256344
1997-03-20,79.33,82.72,79.33,82.72,473230
1997-03-21,85.55,88.38,82.02,83.57,1255899
1997-03-22,83.01,83.15,79.75,82.16,440530
1997-03-24,80.74,82.72,78.91,79.19,496000
1997-03-25,78.91,79.47,76.08,76.36,679240
1997-03-26,76.79,81.59,76.79,81.59,564000
1997-03-27,87.25,87.25,83.71,86.68,977571
1997-03-28,87.11,89.79,85.55,89.79,827926
1997-03-31,89.79,89.79,87.39,88.1,851651
1997-04-01,89.09,94.18,89.09,94.18,724000
